bag_timestamp,gps_timestamp_sec,gps_timestamp_nanosec,latitude,longitude,altitude
1.79E+18,1787901743,705874432,12.6507861,80.1399062,15.64598562
1.79E+18,1787901743,955879808,12.6507861,80.1399062,15.63598562
1.79E+18,1787901744,205889536,12.650786,80.1399062,15.61598544
1.79E+18,1787901744,455896448,12.650786,80.1399062,15.63598544
1.79E+18,1787901744,705904128,12.650786,80.1399062,15.64598544
1.79E+18,1787901744,955911040,12.650786,80.1399062,15.66598544
1.79E+18,1787901745,205919744,12.650786,80.1399062,15.66598544
1.79E+18,1787901745,455930752,12.6507859,80.1399062,15.65598526
1.79E+18,1787901745,710938432,12.6507859,80.1399062,15.66598526
1.79E+18,1787901745,955943552,12.6507859,80.1399061,15.65598561
1.79E+18,1787901746,205953024,12.6507859,80.1399061,15.64598561
1.79E+18,1787901746,455959424,12.6507859,80.139906,15.63598596
1.79E+18,1787901746,705969920,12.6507859,80.139906,15.61598596
1.79E+18,1787901746,955979136,12.6507859,80.139906,15.61598596
1.79E+18,1787901747,205986048,12.6507859,80.139906,15.61598596
1.79E+18,1787901747,455993216,12.6507859,80.1399059,15.5959863
1.79E+18,1787901747,710999360,12.6507858,80.139906,15.58598578
1.79E+18,1787901747,956004480,12.6507858,80.139906,15.56598578
1.79E+18,1787901748,206009088,12.6507858,80.139906,15.56598578
1.79E+18,1787901748,456014976,12.6507859,80.139906,15.56598596
1.79E+18,1787901748,706022144,12.650786,80.139906,15.56598614
1.79E+18,1787901748,956030848,12.6507861,80.139906,15.55598631
1.79E+18,1787901749,206038272,12.6507861,80.139906,15.54598631
1.79E+18,1787901749,456047744,12.6507862,80.1399059,15.55598684
1.79E+18,1787901749,706052864,12.6507862,80.1399058,15.55598719
1.79E+18,1787901749,956065152,12.6507862,80.1399058,15.58598719
1.79E+18,1787901750,206074368,12.6507861,80.1399058,15.61598701
1.79E+18,1787901750,456082048,12.6507861,80.1399057,15.64598735
1.79E+18,1787901750,706089472,12.6507861,80.1399056,15.6459877
1.79E+18,1787901750,956096896,12.6507862,80.1399056,15.65598788
1.79E+18,1787901751,206104576,12.6507862,80.1399056,15.65598788
1.79E+18,1787901751,456114048,12.6507863,80.1399056,15.65598806
1.79E+18,1787901751,706123776,12.6507863,80.1399057,15.65598771
1.79E+18,1787901751,956130432,12.6507863,80.1399057,15.65598771
1.79E+18,1787901752,206140416,12.6507863,80.1399057,15.63598771
1.79E+18,1787901752,456147584,12.6507863,80.1399058,15.62598736
1.79E+18,1787901752,706156800,12.6507863,80.1399058,15.65598736
1.79E+18,1787901752,956162432,12.6507864,80.1399059,15.6759872
1.79E+18,1787901753,206167040,12.6507865,80.1399061,15.66598669
1.79E+18,1787901753,456171648,12.6507866,80.1399061,15.64598686
1.79E+18,1787901753,706181632,12.6507866,80.1399061,15.64598686
1.79E+18,1787901753,956189056,12.6507866,80.139906,15.63598721
1.79E+18,1787901754,206200832,12.6507865,80.1399059,15.63598738
1.79E+18,1787901754,456202880,12.6507865,80.1399059,15.62598738
1.79E+18,1787901754,706211072,12.6507864,80.1399059,15.6259872
1.79E+18,1787901754,956220032,12.6507863,80.1399059,15.60598702
1.79E+18,1787901755,206231552,12.6507863,80.1399059,15.58598702
1.79E+18,1787901755,456245888,12.6507862,80.1399059,15.58598684
1.79E+18,1787901755,706253568,12.6507862,80.139906,15.60598649
1.79E+18,1787901755,956262528,12.6507862,80.139906,15.62598649
1.79E+18,1787901756,206266112,12.6507861,80.139906,15.64598631
1.79E+18,1787901756,456272768,12.6507861,80.139906,15.66598631
1.79E+18,1787901756,706277376,12.650786,80.139906,15.65598614
1.79E+18,1787901756,956285312,12.6507859,80.139906,15.65598596
1.79E+18,1787901757,206293760,12.650786,80.139906,15.65598614
1.79E+18,1787901757,456299904,12.650786,80.1399061,15.65598579
1.79E+18,1787901757,706303232,12.650786,80.1399062,15.64598544
1.79E+18,1787901757,956310912,12.650786,80.1399062,15.63598544
1.79E+18,1787901758,206318592,12.650786,80.1399062,15.62598544
1.79E+18,1787901758,456320384,12.6507859,80.1399062,15.60598526
1.79E+18,1787901758,706323456,12.6507858,80.1399062,15.58598508
1.79E+18,1787901758,956329856,12.6507858,80.1399062,15.58598508
1.79E+18,1787901759,206344192,12.6507858,80.1399062,15.58598508
1.79E+18,1787901759,456352896,12.6507858,80.1399062,15.58598508
1.79E+18,1787901759,706357248,12.6507857,80.1399062,15.61598491
1.79E+18,1787901759,956368000,12.6507858,80.1399062,15.62598508
1.79E+18,1787901760,206373120,12.6507859,80.1399062,15.64598526
1.79E+18,1787901760,456381824,12.650786,80.1399062,15.64598544
1.79E+18,1787901760,706394880,12.6507861,80.1399062,15.61598562
1.79E+18,1787901760,956404864,12.6507862,80.1399062,15.5959858
1.79E+18,1787901761,206413312,12.6507867,80.1399062,15.5959867
